,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,维萨,V,2008-03-19,3.69,2.94,6.07,2.57,177121472,0.0,-1944.44,1733.33,3.12,21.98
1,维萨,V,2008-03-20,3.42,4.91,5.07,3.19,49746236,0.0,63.95,67.01,1.97,6.17
2,维萨,V,2008-03-24,5.63,3.75,5.74,3.57,37423746,0.0,44.2,-23.63,-1.16,4.64
3,维萨,V,2008-03-25,3.96,4.63,4.88,3.77,21791298,0.0,29.6,23.47,0.88,2.7
4,维萨,V,2008-03-26,4.5,4.81,4.94,4.21,10784854,0.0,15.77,3.89,0.18,1.34
5,维萨,V,2008-03-27,4.83,4.55,5.0,4.48,9958761,0.0,10.81,-5.41,-0.26,1.24
6,维萨,V,2008-03-28,4.66,4.51,4.68,4.36,6174579,0.0,7.03,-0.88,-0.04,0.77
7,维萨,V,2008-03-31,4.47,4.41,4.69,4.33,5542662,0.0,7.98,-2.22,-0.1,0.58
8,维萨,V,2008-04-01,4.58,4.22,4.74,3.9,15107970,0.0,19.05,-4.31,-0.19,1.57
9,维萨,V,2008-04-02,4.25,4.4,4.4,3.94,10961640,0.0,10.9,4.27,0.18,1.14
10,维萨,V,2008-04-03,4.31,5.19,5.39,4.27,25216907,0.0,25.45,17.95,0.79,2.63
11,维萨,V,2008-04-04,5.04,4.94,5.15,4.76,9099011,0.0,7.51,-4.82,-0.25,0.95
12,维萨,V,2008-04-07,5.09,5.08,5.27,4.82,7078367,0.0,9.11,2.83,0.14,0.74
13,维萨,V,2008-04-08,5.04,5.84,5.88,5.02,13490957,0.0,16.93,14.96,0.76,1.4
14,维萨,V,2008-04-09,5.93,5.27,6.0,5.22,12084944,0.0,13.36,-9.76,-0.57,1.26
15,维萨,V,2008-04-10,5.36,5.35,5.5,5.1,5596283,0.0,7.59,1.52,0.08,0.58
16,维萨,V,2008-04-11,5.13,5.35,5.51,5.13,6608602,0.0,7.1,0.0,0.0,0.69
17,维萨,V,2008-04-14,5.49,5.24,5.63,5.2,7111548,0.0,8.04,-2.06,-0.11,0.74
18,维萨,V,2008-04-15,5.39,4.91,5.46,4.82,5975843,0.0,12.21,-6.3,-0.33,0.62
19,维萨,V,2008-04-16,4.96,5.35,5.56,4.96,6287187,0.0,12.22,8.96,0.44,0.65
20,维萨,V,2008-04-17,5.38,5.58,5.76,5.32,5615554,0.0,8.22,4.3,0.23,0.58
21,维萨,V,2008-04-18,5.82,6.07,6.43,5.62,26030743,0.0,14.52,8.78,0.49,2.71
22,维萨,V,2008-04-21,6.19,6.56,6.94,6.03,14721301,0.0,14.99,8.07,0.49,1.53
23,维萨,V,2008-04-22,6.8,6.39,6.92,6.32,11844560,0.0,9.15,-2.59,-0.17,1.23
24,维萨,V,2008-04-23,6.56,6.34,6.74,6.24,9334153,0.0,7.82,-0.78,-0.05,0.97
25,维萨,V,2008-04-24,6.62,6.89,7.07,6.33,9770604,0.0,11.67,8.68,0.55,1.02
26,维萨,V,2008-04-25,7.82,7.59,7.84,7.3,25364987,0.0,7.84,10.16,0.7,2.64
27,维萨,V,2008-04-28,7.94,7.73,8.14,7.54,33129322,0.0,7.91,1.84,0.14,3.45
28,维萨,V,2008-04-29,7.36,9.04,9.04,6.57,49327033,0.0,31.95,16.95,1.31,5.14
29,维萨,V,2008-04-30,9.17,9.68,10.02,9.09,36885814,0.0,10.29,7.08,0.64,3.84
30,维萨,V,2008-05-01,9.92,10.17,10.73,9.79,29098835,0.0,9.71,5.06,0.49,3.03
31,维萨,V,2008-05-02,10.64,9.51,10.69,9.07,34162124,0.0,15.93,-6.49,-0.66,3.56
32,维萨,V,2008-05-05,9.53,10.08,10.19,9.02,17594234,0.0,12.3,5.99,0.57,1.83
33,维萨,V,2008-05-06,10.19,10.7,10.86,10.01,18978236,0.0,8.43,6.15,0.62,1.98
34,维萨,V,2008-05-07,11.03,10.94,11.28,10.73,25116124,0.0,5.14,2.24,0.24,2.62
35,维萨,V,2008-05-08,11.19,10.64,11.26,10.3,23216674,0.0,8.78,-2.74,-0.3,2.42
36,维萨,V,2008-05-09,10.27,9.53,10.49,9.45,23577947,0.0,9.77,-10.43,-1.11,2.45
37,维萨,V,2008-05-12,9.73,9.29,9.94,8.34,36887727,0.0,16.79,-2.52,-0.24,3.4
38,维萨,V,2008-05-13,9.28,9.41,9.69,9.02,13317832,0.0,7.21,1.29,0.12,1.23
39,维萨,V,2008-05-14,9.64,9.38,9.91,9.18,12850077,0.0,7.76,-0.32,-0.03,1.19
40,维萨,V,2008-05-15,9.45,9.38,9.55,9.1,9182059,0.0,4.8,0.0,0.0,0.85
41,维萨,V,2008-05-16,9.5,9.41,9.53,9.13,8516633,0.0,4.26,0.32,0.03,0.79
42,维萨,V,2008-05-19,9.39,9.65,10.0,9.36,11412820,0.0,6.8,2.55,0.24,1.05
43,维萨,V,2008-05-20,9.54,9.5,9.78,9.3,10176585,0.0,4.97,-1.55,-0.15,0.94
44,维萨,V,2008-05-21,9.49,9.03,9.68,8.95,10457818,0.0,7.68,-4.95,-0.47,0.96
45,维萨,V,2008-05-22,8.96,8.15,8.97,7.86,21329340,0.0,12.29,-9.75,-0.88,1.97
46,维萨,V,2008-05-23,7.78,7.91,8.15,7.6,10555933,0.0,6.75,-2.94,-0.24,0.97
47,维萨,V,2008-05-27,8.05,8.5,8.55,7.41,15703674,0.0,14.41,7.46,0.59,1.45
48,维萨,V,2008-05-28,8.89,9.3,9.31,8.71,13258672,0.0,7.06,9.41,0.8,1.22
49,维萨,V,2008-05-29,9.68,10.13,10.56,9.57,25153257,0.0,10.65,8.92,0.83,2.32
50,维萨,V,2008-05-30,10.32,10.41,10.71,10.27,18012046,0.0,4.34,2.76,0.28,1.66
51,维萨,V,2008-06-02,10.37,10.34,10.56,9.97,9213955,0.0,5.67,-0.67,-0.07,0.85
52,维萨,V,2008-06-03,10.57,10.71,10.81,10.33,12121063,0.0,4.64,3.58,0.37,1.12
53,维萨,V,2008-06-04,10.59,10.19,10.84,10.14,10176128,0.0,6.54,-4.86,-0.52,0.94
54,维萨,V,2008-06-05,10.43,10.63,10.63,10.22,6764868,0.0,4.02,4.32,0.44,0.62
55,维萨,V,2008-06-06,10.29,9.73,10.32,9.71,10442944,0.0,5.74,-8.47,-0.9,0.96
56,维萨,V,2008-06-09,9.82,9.35,10.06,8.96,11309911,0.0,11.31,-3.91,-0.38,1.04
